t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
4.431,2.6042,0.1207,0.1377,-2.6412,2.2944,0.1311
4.452,2.6123,0.1230,0.1393,-2.6498,2.2944,0.1311
4.473,2.6284,0.1277,0.1423,-2.6596,2.3099,0.1346
4.494,2.6365,0.1301,0.1448,-2.6680,2.3099,0.1346
4.515,2.6445,0.1326,0.1478,-2.6778,2.3253,0.1390
4.536,2.6525,0.1350,0.1509,-2.6876,2.3408,0.1436
4.557,2.6605,0.1375,0.1536,-2.6960,2.3408,0.1436
4.578,2.6685,0.1400,0.1569,-2.7075,2.3543,0.1475
4.599,2.6845,0.1451,0.1600,-2.7172,2.3695,0.1522
4.620,2.6925,0.1477,0.1632,-2.7269,2.3695,0.1522
4.641,2.7004,0.1503,0.1660,-2.7351,2.3847,0.1570
4.662,2.7084,0.1530,0.1643,-2.7384,2.3931,0.1568
4.683,2.7164,0.1557,0.1675,-2.7479,2.3931,0.1568
4.704,2.7243,0.1584,0.1702,-2.7560,2.4077,0.1614
4.725,2.7402,0.1640,0.1735,-2.7655,2.4077,0.1614
4.746,2.7482,0.1669,0.1768,-2.7749,2.4226,0.1662
4.767,2.7561,0.1698,0.1786,-2.7811,2.4369,0.1708
4.788,2.7641,0.1728,0.1835,-2.7945,2.4369,0.1708
4.809,2.7720,0.1759,0.1870,-2.8039,2.4516,0.1759
4.830,2.7799,0.1789,0.1905,-2.8133,2.4664,0.1812
4.851,2.7958,0.1850,0.1935,-2.8213,2.4664,0.1812
4.872,2.8037,0.1881,0.1964,-2.8285,2.4795,0.1862
4.893,2.8115,0.1911,0.1998,-2.8377,2.4795,0.1862
4.914,2.8194,0.1942,0.2028,-2.8456,2.4940,0.1915
4.935,2.8272,0.1973,0.2064,-2.8547,2.5084,0.1968
4.956,2.8350,0.2004,0.2099,-2.8638,2.5084,0.1968
4.977,2.8506,0.2067,0.2128,-2.8680,2.5191,0.2021
4.998,2.8583,0.2099,0.2179,-2.8808,2.5330,0.2075
5.019,2.8660,0.2131,0.2215,-2.8896,2.5330,0.2075
5.040,2.8738,0.2163,0.2251,-2.8985,2.5470,0.2130
5.061,2.8815,0.2195,0.2298,-2.9069,2.5470,0.2130
5.082,2.8892,0.2227,0.2335,-2.9157,2.5632,0.2209
5.103,2.9045,0.2293,0.2373,-2.9244,2.5771,0.2266
5.124,2.9122,0.2325,0.2405,-2.9319,2.5771,0.2266
5.145,2.9198,0.2358,0.2442,-2.9406,2.5909,0.2324
5.166,2.9275,0.2391,0.2477,-2.9486,2.6040,0.2378
5.187,2.9351,0.2424,0.2509,-2.9561,2.6040,0.2378
5.208,2.9428,0.2458,0.2563,-2.9684,2.6177,0.2436
5.229,2.9580,0.2525,0.2601,-2.9770,2.6313,0.2494
5.250,2.9656,0.2559,0.2639,-2.9856,2.6313,0.2494
5.271,2.9732,0.2593,0.2670,-2.9932,2.6451,0.2550
5.292,2.9808,0.2627,0.2708,-3.0018,2.6451,0.2550
5.313,2.9883,0.2661,0.2747,-3.0103,2.6586,0.2609
5.334,2.9959,0.2695,0.2780,-3.0176,2.6721,0.2668
5.355,3.0109,0.2765,0.2819,-3.0261,2.6721,0.2668
5.376,3.0184,0.2800,0.2860,-3.0341,2.6862,0.2736
5.397,3.0259,0.2836,0.2894,-3.0413,2.6995,0.2797
5.418,3.0334,0.2871,0.2951,-3.0533,2.6995,0.2797
5.439,3.0409,0.2907,0.2992,-3.0617,2.7128,0.2858
5.460,3.0484,0.2943,0.3032,-3.0690,2.7128,0.2858
5.481,3.0632,0.3016,0.3067,-3.0761,2.7251,0.2921
5.502,3.0706,0.3052,0.3108,-3.0843,2.7382,0.2983
5.523,3.0780,0.3089,0.3150,-3.0925,2.7382,0.2983
5.544,3.0854,0.3127,0.3185,-3.0995,2.7511,0.3047
5.565,3.0927,0.3164,0.3233,-3.1084,2.7648,0.3117
5.586,3.1001,0.3202,0.3276,-3.1166,2.7648,0.3117
5.607,3.1147,0.3282,0.3314,-3.1235,2.7777,0.3184
5.628,3.1219,0.3323,0.3379,-3.1350,2.7905,0.3254
5.649,3.1292,0.3364,0.3442,-3.1470,2.7905,0.3254
5.670,3.1364,0.3407,0.3490,-3.1551,2.8087,0.3350
5.691,3.1436,0.3450,0.3532,-3.1620,2.8087,0.3350
5.712,3.1508,0.3494,0.3581,-3.1700,2.8216,0.3426
5.733,3.1651,0.3583,0.3632,-3.1780,2.8343,0.3502
5.754,3.1722,0.3630,0.3677,-3.1848,2.8343,0.3502
5.775,3.1792,0.3677,0.3745,-3.1961,2.8495,0.3595
5.796,3.1862,0.3726,0.3800,-3.2040,2.8622,0.3680
5.817,3.1932,0.3775,0.3847,-3.2108,2.8622,0.3680
5.838,3.2001,0.3824,0.3928,-3.2220,2.8747,0.3766
5.859,3.2140,0.3924,0.3989,-3.2309,2.8747,0.3766
5.880,3.2208,0.3975,0.4046,-3.2387,2.8881,0.3858
5.901,3.2277,0.4026,0.4095,-3.2454,2.9006,0.3947
5.922,3.2346,0.4077,0.4153,-3.2531,2.9006,0.3947
5.943,3.2414,0.4128,0.4211,-3.2608,2.9129,0.4036
5.964,3.2482,0.4179,0.4277,-3.2693,2.9282,0.4152
5.985,3.2618,0.4281,0.4336,-3.2770,2.9282,0.4152
6.006,3.2686,0.4332,0.4394,-3.2847,2.9405,0.4243
6.027,3.2753,0.4383,0.4444,-3.2913,2.9405,0.4243
6.048,3.2820,0.4434,0.4527,-3.3022,2.9527,0.4333
6.069,3.2887,0.4485,0.4601,-3.3110,2.9657,0.4435
6.090,3.2954,0.4535,0.4659,-3.3186,2.9657,0.4435
6.111,3.3087,0.4636,0.4709,-3.3250,2.9778,0.4526
6.132,3.3153,0.4686,0.4767,-3.3325,2.9897,0.4616
6.153,3.3219,0.4736,0.4825,-3.3400,2.9897,0.4616
6.174,3.3284,0.4786,0.4887,-3.3468,3.0020,0.4718
6.195,3.3350,0.4836,0.4945,-3.3543,3.0138,0.4809
6.216,3.3415,0.4886,0.5003,-3.3617,3.0138,0.4809
6.237,3.3546,0.4986,0.5053,-3.3681,3.0256,0.4899
6.258,3.3610,0.5036,0.5139,-3.3792,3.0256,0.4899
6.279,3.3675,0.5086,0.5197,-3.3866,3.0390,0.5000
6.300,3.3740,0.5136,0.5256,-3.3939,3.0508,0.5090
6.321,3.3804,0.5187,0.5306,-3.4003,3.0508,0.5090
6.342,3.3869,0.5237,0.5365,-3.4076,3.0624,0.5181
6.363,3.3998,0.5339,0.5428,-3.4152,3.0742,0.5276
6.384,3.4063,0.5390,0.5479,-3.4215,3.0742,0.5276
6.405,3.4127,0.5441,0.5539,-3.4288,3.0859,0.5368
6.426,3.4192,0.5492,0.5599,-3.4361,3.0859,0.5368
6.447,3.4256,0.5544,0.5651,-3.4424,3.0975,0.5461
6.468,3.4320,0.5595,0.5743,-3.4535,3.1098,0.5561
6.489,3.4449,0.5699,0.5804,-3.4609,3.1098,0.5561
6.510,3.4513,0.5751,0.5865,-3.4682,3.1215,0.5656
6.531,3.4577,0.5803,0.5918,-3.4745,3.1331,0.5751
6.552,3.4641,0.5855,0.5980,-3.4818,3.1331,0.5751
6.573,3.4705,0.5908,0.6048,-3.4897,3.1465,0.5861
6.594,3.4769,0.5962,0.6102,-3.4961,3.1465,0.5861
6.615,3.4897,0.6069,0.6165,-3.5034,3.1581,0.5959
6.636,3.4961,0.6122,0.6228,-3.5107,3.1698,0.6057
6.657,3.5024,0.6175,0.6283,-3.5170,3.1698,0.6057
6.678,3.5088,0.6229,0.6371,-3.5259,3.1802,0.6154
6.699,3.5151,0.6282,0.6434,-3.5331,3.1916,0.6252
6.720,3.5214,0.6336,0.6498,-3.5404,3.1916,0.6252
6.741,3.5340,0.6443,0.6553,-3.5465,3.2031,0.6351
6.762,3.5403,0.6497,0.6595,-3.5523,3.2130,0.6427
6.783,3.5466,0.6551,0.6659,-3.5595,3.2130,0.6427
6.804,3.5528,0.6605,0.6713,-3.5656,3.2242,0.6525
6.825,3.5590,0.6659,0.6777,-3.5727,3.2242,0.6525
6.846,3.5653,0.6713,0.6840,-3.5798,3.2355,0.6623
6.867,3.5777,0.6821,0.6899,-3.5858,3.2478,0.6736
6.888,3.5838,0.6875,0.6991,-3.5959,3.2478,0.6736
6.909,3.5900,0.6930,0.7055,-3.6029,3.2590,0.6835
6.930,3.5961,0.6984,0.7119,-3.6100,3.2702,0.6935
6.951,3.6023,0.7039,0.7174,-3.6160,3.2702,0.6935
6.972,3.6084,0.7093,0.7253,-3.6238,3.2819,0.7046
6.993,3.6207,0.7203,0.7318,-3.6308,3.2819,0.7046
7.014,3.6268,0.7257,0.7374,-3.6367,3.2931,0.7148
7.035,3.6328,0.7312,0.7440,-3.6437,3.3042,0.7250
7.056,3.6389,0.7367,0.7506,-3.6507,3.3042,0.7250
7.077,3.6450,0.7423,0.7533,-3.6566,3.3151,0.7321
7.098,3.6510,0.7478,0.7626,-3.6666,3.3262,0.7421
7.119,3.6631,0.7589,0.7691,-3.6735,3.3262,0.7421
7.140,3.6691,0.7645,0.7757,-3.6805,3.3372,0.7521
7.161,3.6752,0.7700,0.7801,-3.6865,3.3372,0.7521
7.182,3.6812,0.7756,0.7866,-3.6935,3.3494,0.7619
7.203,3.6872,0.7812,0.7931,-3.7004,3.3604,0.7720
7.224,3.6932,0.7868,0.7988,-3.7063,3.3604,0.7720
7.245,3.7051,0.7981,0.8053,-3.7132,3.3714,0.7822
7.266,3.7111,0.8037,0.8111,-3.7203,3.3824,0.7918
7.287,3.7170,0.8093,0.8166,-3.7262,3.3824,0.7918
7.308,3.7230,0.8149,0.8259,-3.7360,3.3934,0.8018
7.329,3.7289,0.8205,0.8323,-3.7429,3.4043,0.8118
7.350,3.7349,0.8261,0.8388,-3.7498,3.4043,0.8118
7.371,3.7467,0.8373,0.8439,-3.7558,3.4153,0.8215
7.392,3.7526,0.8429,0.8504,-3.7626,3.4153,0.8215
7.413,3.7595,0.8494,0.8569,-3.7695,3.4262,0.8315
7.434,3.7654,0.8550,0.8624,-3.7754,3.4371,0.8415
7.455,3.7713,0.8607,0.8679,-3.7809,3.4371,0.8415
7.476,3.7772,0.8663,0.8743,-3.7877,3.4475,0.8514
7.497,3.7831,0.8719,0.8799,-3.7936,3.4583,0.8614
7.518,3.7948,0.8832,0.8892,-3.8032,3.4583,0.8614
7.539,3.8006,0.8889,0.8957,-3.8100,3.4690,0.8715
7.560,3.8064,0.8946,0.9012,-3.8161,3.4690,0.8715
7.581,3.8122,0.9004,0.9069,-3.8219,3.4793,0.8809
7.602,3.8181,0.9062,0.9136,-3.8286,3.4899,0.8912
7.623,3.8238,0.9122,0.9204,-3.8353,3.4899,0.8912
7.644,3.8354,0.9241,0.9263,-3.8410,3.5005,0.9017
7.665,3.8412,0.9302,0.9330,-3.8473,3.5108,0.9123
7.686,3.8469,0.9362,0.9399,-3.8540,3.5108,0.9123
7.707,3.8527,0.9423,0.9459,-3.8597,3.5213,0.9230
7.728,3.8584,0.9484,0.9559,-3.8691,3.5319,0.9339
7.749,3.8641,0.9546,0.9630,-3.8757,3.5319,0.9339
7.770,3.8755,0.9669,0.9697,-3.8817,3.5427,0.9455
7.791,3.8812,0.9731,0.9757,-3.8873,3.5427,0.9455
7.812,3.8859,0.9783,0.9828,-3.8938,3.5530,0.9565
7.833,3.8925,0.9856,0.9899,-3.9003,3.5634,0.9675
7.854,3.8982,0.9918,0.9961,-3.9059,3.5634,0.9675
7.875,3.9038,0.9980,1.0041,-3.9125,3.5738,0.9786
7.896,3.9150,1.0106,1.0113,-3.9190,3.5843,0.9908
7.917,3.9206,1.0169,1.0175,-3.9245,3.5843,0.9908
7.938,3.9262,1.0231,1.0278,-3.9337,3.5945,1.0020
7.959,3.9318,1.0295,1.0350,-3.9405,3.5945,1.0020
7.980,3.9374,1.0358,1.0422,-3.9469,3.6051,1.0132
8.001,3.9429,1.0421,1.0484,-3.9524,3.6154,1.0245
8.022,3.9540,1.0548,1.0557,-3.9588,3.6154,1.0245
