t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
7.754,3.5851,1.4333,-3.5771,-1.4110,5.7856,1.4253
7.774,3.5913,1.4397,-3.5834,-1.4177,5.7994,1.4387
7.796,3.5974,1.4461,-3.5897,-1.4244,5.7994,1.4387
7.818,3.6035,1.4525,-3.5960,-1.4311,5.8096,1.4493
7.838,3.6096,1.4590,-3.6022,-1.4377,5.8202,1.4605
7.860,3.6217,1.4719,-3.6093,-1.4448,5.8202,1.4605
7.882,3.6277,1.4784,-3.6155,-1.4515,5.8317,1.4722
7.902,3.6336,1.4849,-3.6216,-1.4582,5.8317,1.4722
7.924,3.6396,1.4914,-3.6307,-1.4682,5.8416,1.4828
7.946,3.6455,1.4979,-3.6380,-1.4737,5.8520,1.4941
7.966,3.6574,1.5109,-3.6440,-1.4803,5.8520,1.4941
7.988,3.6633,1.5175,-3.6501,-1.4870,5.8636,1.5041
8.010,3.6692,1.5240,-3.6561,-1.4937,5.8733,1.5147
8.030,3.6751,1.5306,-3.6621,-1.5004,5.8733,1.5147
8.052,3.6809,1.5372,-3.6665,-1.5067,5.8835,1.5261
8.074,3.6926,1.5504,-3.6754,-1.5167,5.8921,1.5369
8.094,3.6984,1.5570,-3.6812,-1.5235,5.8921,1.5369
8.116,3.7042,1.5637,-3.6871,-1.5302,5.9016,1.5476
8.138,3.7100,1.5704,-3.6929,-1.5369,5.9116,1.5590
8.158,3.7158,1.5770,-3.7028,-1.5501,5.9116,1.5590
8.180,3.7216,1.5837,-3.7087,-1.5570,5.9259,1.5771
