t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
7.452,3.4641,1.3272,-3.4057,-1.3281,7.6085,1.6521
7.474,3.4705,1.3336,-3.4091,-1.3344,7.6206,1.6638
7.494,3.4770,1.3400,-3.4161,-1.3413,7.6206,1.6638
7.516,3.4834,1.3465,-3.4232,-1.3482,7.6288,1.6749
7.538,3.4899,1.3529,-3.4302,-1.3551,7.6401,1.6859
7.558,3.4963,1.3593,-3.4373,-1.3620,7.6401,1.6859
7.580,3.5092,1.3721,-3.4434,-1.3677,7.6522,1.6977
7.602,3.5156,1.3785,-3.4538,-1.3779,7.6631,1.7080
7.622,3.5220,1.3849,-3.4608,-1.3848,7.6631,1.7080
7.644,3.5285,1.3913,-3.4678,-1.3916,7.6743,1.7189
7.666,3.5349,1.3977,-3.4748,-1.3984,7.6863,1.7306
7.686,3.5477,1.4105,-3.4812,-1.4049,7.6863,1.7306
7.708,3.5541,1.4170,-3.4881,-1.4117,7.6975,1.7418
7.730,3.5605,1.4234,-3.4950,-1.4185,7.6975,1.7418
7.750,3.5669,1.4297,-3.5019,-1.4253,7.7086,1.7526
7.772,3.5732,1.4361,-3.5093,-1.4367,7.7204,1.7641
7.794,3.5859,1.4488,-3.5161,-1.4435,7.7204,1.7641
7.816,3.5922,1.4552,-3.5228,-1.4503,7.7289,1.7769
7.836,3.5984,1.4616,-3.5295,-1.4571,7.7397,1.7878
7.858,3.6046,1.4680,-3.5361,-1.4639,7.7397,1.7878
7.880,3.6107,1.4745,-3.5416,-1.4708,7.7511,1.7993
7.900,3.6168,1.4809,-3.5481,-1.4776,7.7611,1.8110
7.922,3.6289,1.4939,-3.5578,-1.4880,7.7611,1.8110
7.944,3.6349,1.5004,-3.5642,-1.4949,7.7714,1.8219
7.964,3.6409,1.5069,-3.5705,-1.5018,7.7714,1.8219
7.986,3.6469,1.5134,-3.5754,-1.5073,7.7823,1.8337
8.008,3.6528,1.5200,-3.5817,-1.5142,7.7916,1.8440
8.028,3.6646,1.5331,-3.5880,-1.5211,7.7916,1.8440
