t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
4.158,2.1323,0.2012,0.3871,0.3346,0.2046,-2.0851,0.3478,0.3787
4.179,2.1405,0.2036,0.3871,0.3346,0.2070,-2.0933,0.3478,0.3787
4.200,2.1569,0.2084,0.3871,0.3346,0.2098,-2.1028,0.3519,0.3811
4.221,2.1651,0.2108,0.3871,0.3346,0.2126,-2.1124,0.3519,0.3811
4.242,2.1733,0.2133,0.3871,0.3346,0.2151,-2.1206,0.3559,0.3835
4.263,2.1815,0.2158,0.4134,0.3380,0.2188,-2.1337,0.3600,0.3859
4.284,2.1911,0.2188,0.4134,0.3380,0.2219,-2.1432,0.3600,0.3859
4.305,2.1994,0.2214,0.4134,0.3380,0.2249,-2.1528,0.3657,0.3866
4.326,2.2076,0.2240,0.4134,0.3380,0.2276,-2.1610,0.3698,0.3890
4.347,2.2241,0.2294,0.4134,0.3380,0.2307,-2.1706,0.3698,0.3890
4.368,2.2323,0.2322,0.4134,0.3380,0.2335,-2.1814,0.3743,0.3916
4.389,2.2405,0.2350,0.4134,0.3380,0.2363,-2.1895,0.3743,0.3916
4.410,2.2487,0.2378,0.4134,0.3380,0.2396,-2.1991,0.3784,0.3940
4.431,2.2569,0.2407,0.4134,0.3380,0.2429,-2.2086,0.3825,0.3964
4.452,2.2651,0.2436,0.4134,0.3380,0.2458,-2.2167,0.3825,0.3964
4.473,2.2814,0.2494,0.4134,0.3380,0.2505,-2.2308,0.3866,0.3988
4.494,2.2895,0.2522,0.4134,0.3380,0.2537,-2.2403,0.3907,0.4012
4.515,2.2976,0.2549,0.4134,0.3380,0.2569,-2.2497,0.3907,0.4012
4.536,2.3057,0.2576,0.7442,0.2038,0.2596,-2.2578,0.3948,0.4036
4.557,2.3137,0.2602,0.7442,0.2038,0.2617,-2.2669,0.3990,0.4060
4.578,2.3218,0.2628,0.7442,0.2038,0.2646,-2.2763,0.3990,0.4060
4.599,2.3378,0.2678,0.7442,0.2038,0.2671,-2.2843,0.4031,0.4084
4.620,2.3458,0.2702,0.7442,0.2038,0.2699,-2.2937,0.4031,0.4084
4.641,2.3538,0.2727,0.7442,0.2038,0.2727,-2.3030,0.4072,0.4107
4.662,2.3618,0.2751,0.7442,0.2038,0.2734,-2.3113,0.4117,0.4134
4.683,2.3698,0.2775,0.7442,0.2038,0.2772,-2.3245,0.4117,0.4134
4.704,2.3778,0.2798,0.7442,0.2038,0.2799,-2.3338,0.4158,0.4158
4.725,2.3937,0.2845,0.8149,0.2108,0.2825,-2.3431,0.7225,0.3369
4.746,2.4016,0.2868,0.8149,0.2108,0.2847,-2.3510,0.7225,0.3369
