t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
6.244,3.0201,0.9990,-2.9556,-1.0242,5.0815,1.0234
6.266,3.0274,1.0042,-2.9638,-1.0304,5.0815,1.0234
6.288,3.0338,1.0089,-2.9719,-1.0366,5.0946,1.0334
6.308,3.0467,1.0182,-2.9801,-1.0428,5.1084,1.0441
6.330,3.0532,1.0229,-2.9946,-1.0513,5.1084,1.0441
6.352,3.0604,1.0282,-3.0028,-1.0576,5.1245,1.0538
6.372,3.0677,1.0335,-3.0110,-1.0639,5.1377,1.0639
6.394,3.0813,1.0436,-3.0192,-1.0702,5.1377,1.0639
6.416,3.0885,1.0489,-3.0231,-1.0699,5.1515,1.0748
6.436,3.0949,1.0537,-3.0312,-1.0761,5.1609,1.0787
6.458,3.1013,1.0585,-3.0393,-1.0823,5.1609,1.0787
6.480,3.1149,1.0686,-3.0514,-1.0917,5.1738,1.0887
6.500,3.1213,1.0734,-3.0594,-1.0980,5.1738,1.0887
6.522,3.1277,1.0783,-3.0663,-1.1091,5.1875,1.0996
6.544,3.1404,1.0879,-3.0742,-1.1155,5.1999,1.1152
6.564,3.1476,1.0934,-3.0822,-1.1220,5.1999,1.1152
6.586,3.1547,1.0989,-3.0901,-1.1284,5.2126,1.1256
6.608,3.1618,1.1043,-3.0980,-1.1349,5.2260,1.1365
6.628,3.1752,1.1148,-3.1026,-1.1329,5.2260,1.1365
6.650,3.1823,1.1203,-3.1143,-1.1423,5.2360,1.1389
6.672,3.1894,1.1258,-3.1221,-1.1487,5.2484,1.1490
6.692,3.1964,1.1314,-3.1298,-1.1550,5.2484,1.1490
6.714,3.2034,1.1370,-3.1382,-1.1600,5.2616,1.1601
6.736,3.2166,1.1475,-3.1459,-1.1664,5.2753,1.1695
6.756,3.2236,1.1530,-3.1535,-1.1727,5.2753,1.1695
6.778,3.2306,1.1586,-3.1612,-1.1790,5.2875,1.1796
6.800,3.2367,1.1635,-3.1726,-1.1885,5.2875,1.1796
6.820,3.2498,1.1741,-3.1812,-1.1898,5.3004,1.1905
6.842,3.2567,1.1797,-3.1888,-1.1961,5.3143,1.1961
6.864,3.2636,1.1853,-3.1964,-1.2024,5.3143,1.1961
6.884,3.2704,1.1910,-3.2039,-1.2087,5.3264,1.2062
6.906,3.2826,1.2011,-3.2115,-1.2151,5.3393,1.2172
6.928,3.2887,1.2061,-3.2192,-1.2217,5.3393,1.2172
6.948,3.2955,1.2118,-3.2268,-1.2281,5.3522,1.2283
6.970,3.3023,1.2175,-3.2381,-1.2377,5.3643,1.2386
6.992,3.3151,1.2282,-3.2456,-1.2441,5.3643,1.2386
7.012,3.3219,1.2339,-3.2517,-1.2468,5.3770,1.2495
7.034,3.3279,1.2390,-3.2591,-1.2531,5.3770,1.2495
7.056,3.3346,1.2447,-3.2666,-1.2594,5.3882,1.2566
7.076,3.3414,1.2505,-3.2740,-1.2658,5.4001,1.2667
7.098,3.3533,1.2608,-3.2814,-1.2722,5.4001,1.2667
7.120,3.3591,1.2661,-3.2913,-1.2813,5.4126,1.2778
7.140,3.3643,1.2707,-3.2985,-1.2878,5.4239,1.2882
7.162,3.3773,1.2826,-3.3056,-1.2945,5.4239,1.2882
7.184,3.3831,1.2880,-3.3127,-1.3011,5.4353,1.2988
7.204,3.3895,1.2941,-3.3197,-1.3078,5.4472,1.3102
7.226,3.3959,1.3002,-3.3312,-1.3147,5.4472,1.3102
7.248,3.4080,1.3117,-3.3382,-1.3214,5.4636,1.3218
7.268,3.4145,1.3179,-3.3453,-1.3281,5.4749,1.3326
7.290,3.4202,1.3234,-3.3559,-1.3383,5.4749,1.3326
7.312,3.4259,1.3289,-3.3635,-1.3451,5.4868,1.3443
7.332,3.4374,1.3400,-3.3706,-1.3519,5.4868,1.3443
7.354,3.4431,1.3456,-3.3777,-1.3588,5.4994,1.3558
7.376,3.4496,1.3519,-3.3848,-1.3658,5.5107,1.3669
7.396,3.4618,1.3640,-3.3918,-1.3727,5.5107,1.3669
7.418,3.4682,1.3704,-3.3969,-1.3780,5.5227,1.3788
7.440,3.4740,1.3761,-3.4074,-1.3885,5.5326,1.3890
7.460,3.4804,1.3825,-3.4144,-1.3955,5.5326,1.3890
7.482,3.4869,1.3889,-3.4214,-1.4025,5.5437,1.4002
7.504,3.4996,1.4019,-3.4283,-1.4096,5.5555,1.4123
7.524,3.5060,1.4084,-3.4357,-1.4157,5.5555,1.4123
7.546,3.5117,1.4142,-3.4426,-1.4227,5.5677,1.4233
7.568,3.5173,1.4199,-3.4494,-1.4296,5.5787,1.4345
7.588,3.5293,1.4319,-3.4563,-1.4365,5.5787,1.4345
7.610,3.5349,1.4375,-3.4658,-1.4452,5.5902,1.4462
7.632,3.5412,1.4438,-3.4726,-1.4519,5.5902,1.4462
7.652,3.5524,1.4549,-3.4793,-1.4587,5.6010,1.4562
7.674,3.5587,1.4612,-3.4861,-1.4653,5.6118,1.4669
7.696,3.5643,1.4667,-3.4928,-1.4720,5.6118,1.4669
7.716,3.5699,1.4722,-3.5020,-1.4837,5.6232,1.4783
7.738,3.5817,1.4839,-3.5120,-1.4938,5.6370,1.4949
7.760,3.5872,1.4895,-3.5187,-1.5007,5.6370,1.4949
7.780,3.5934,1.4957,-3.5253,-1.5075,5.6477,1.5058
7.802,3.5989,1.5013,-3.5318,-1.5144,5.6587,1.5175
7.824,3.6104,1.5134,-3.5395,-1.5219,5.6587,1.5175
7.844,3.6164,1.5198,-3.5459,-1.5289,5.6709,1.5299
7.866,3.6217,1.5255,-3.5523,-1.5360,5.6709,1.5299
7.888,3.6277,1.5320,-3.5587,-1.5431,5.6811,1.5412
7.908,3.6389,1.5442,-3.5650,-1.5502,5.6918,1.5533
7.930,3.6442,1.5500,-3.5753,-1.5615,5.6918,1.5533
7.952,3.6494,1.5558,-3.5816,-1.5687,5.7034,1.5661
7.972,3.6546,1.5616,-3.5878,-1.5759,5.7134,1.5776
7.994,3.6662,1.5748,-3.5940,-1.5831,5.7134,1.5776
8.016,3.6713,1.5807,-3.6012,-1.5910,5.7238,1.5899
8.038,3.6809,1.5917,-3.6074,-1.5982,5.7353,1.6029
8.058,3.6859,1.5976,-3.6135,-1.6055,5.7353,1.6029
8.080,3.6916,1.6043,-3.6226,-1.6164,5.7451,1.6146
8.102,3.7017,1.6162,-3.6287,-1.6237,5.7553,1.6270
8.122,3.7073,1.6229,-3.6305,-1.6335,5.7553,1.6270
8.144,3.7130,1.6296,-3.6365,-1.6409,5.7612,1.6420
8.166,3.7186,1.6363,-3.6424,-1.6484,5.7612,1.6420
8.186,3.7235,1.6423,-3.6483,-1.6559,5.7707,1.6540
8.208,3.7334,1.6543,-3.6542,-1.6634,5.7807,1.6667
